artist_name,artist_popularity,artist_followers
christina aguilera,76.0,9250522.0
christina perri,71.0,4308713.0
christine slagman,28.0,3885.0
christophe beck,54.0,44217.0
christopher drake,34.0,15457.0
christopher lennertz,40.0,24209.0
chromeo,54.0,424793.0
chrystal,70.0,87184.0
chuck berry,63.0,2211249.0
chuck e. myers 'sea',41.0,2314.0
chvrches,60.0,1406762.0
ciara,69.0,7333933.0
cigarettes after sex,83.55555555555556,17380777.0
cinnamon chasers,43.0,47996.0
cj,58.0,277520.0
cj hooper,19.0,267.0
ckay,66.0,1686077.0
clairo,78.0,6606632.0
clamavi de profundis,47.0,115339.0
clams casino,68.0,384793.0
clara la san,69.0,458855.0
clean bandit,74.0,5975530.0
cliff martinez,40.0,64974.0
clint black,58.0,1195876.0
clint mansell,49.0,175372.0
clinton kane,56.0,936467.0
cloud,31.0,10130.0
clouded.,22.0,1009.0
cobra starship,58.0,520711.0
cody johnson,73.0,1943383.0
coi leray,66.0,932488.0
cokasian,27.0,4909.0
coldplay,88.0,60830643.0
cole swindell,64.0,2565642.0
college,46.0,120141.0
collosia,43.0,9488.0
colm r. mcguinness,56.0,169882.0
colt ford,56.0,1156467.0
com truise,54.0,308503.0
commma,8.0,155.0
conan gray,79.0,12430671.0
conki,61.0,26114.0
conway twitty,59.0,1040028.0
coolio,68.0,1887219.0
corbin bleu,46.0,530174.0
cordae,62.0,2109948.0
corena,38.0,1676.0
cour,46.0,6584.0
cowboy,16.0,363.0
craig morgan,56.0,1105909.0
crazy frog,58.0,694334.0
creed,73.0,4303697.0
creedence clearwater revival,77.0,7945600.0
cro,68.0,2784626.0
crouch end festival chorus,37.0,3549.0
crowded house,68.0,1050087.0
crystal castles,69.0,3291477.0
crystal rock,55.0,28232.0
cults,66.0,1255651.0
curawaka,42.0,76718.0
curos,35.0,63897.0
current joys,69.0,1761438.0
cutting crew,62.0,525182.0
cwby,37.0,11588.0
cyn,36.0,100154.0
cyndi lauper,70.0,3279441.0
cynthia erivo,66.0,522714.0
cypress hill,65.0,2379861.0
cécile corbel,47.0,58949.0
cœur de pirate,56.0,510365.0
d'angelo,69.0,1429201.0
d-block europe,72.0,1790426.0
d4vd,79.0,4684957.0
d4wnatello,9.0,127.0
dababy,77.0,12955951.0
daddy yankee,85.0,37817461.0
daft punk,81.0,10874504.0
daigoro789,50.0,38492.0
damien rice,56.0,1136927.0
dan + shay,66.0,3203185.0
dan auerbach,53.0,373287.0
dan romer,49.0,34675.0
dana fuchs,33.0,20236.0
dance fruits music,56.0,557424.0
danheim,54.0,368641.0
daniel caesar,85.0,11137714.0
daniel di angelo,55.0,297153.0
daniel lanois,47.0,79399.0
daniel licht,41.0,16826.0
daniel powter,58.0,323888.0
daniele luppi,41.0,19900.0
danit,55.0,274288.0
danny elfman,66.0,490560.0
darci,60.0,284847.0
dario marianelli,59.0,114864.0
darius rucker,66.0,2774161.0
darkrose,32.0,7211.0
darren korb,54.0,117914.0
dasha,67.0,416933.0
daughter,58.0,1408571.0
daughtry,65.0,2382165.0
dave,79.5,6598184.0
dave matthews band,62.0,2118629.0
dave porter,34.0,20953.0
daveedtheking,5.0,58.0
david arkenstone,47.0,72493.0
david arnold,50.0,42445.0
david arnold & michael price,0.0,5770.0
david ferguson,43.0,16099.0
david garcía díaz,37.0,6444.0
david guetta,87.0,27143729.0
david kushner,70.0,2768544.0
david newman,34.0,7735.0
davvn,36.0,32967.0
daya,69.0,1846218.0
daya blaze,1.8,0.0
dayglow,61.0,1066852.0
ddg,61.0,1618086.0
de la soul,72.0,1169859.0
dean lewis,75.0,4156314.0
death plus,39.0,18370.0
deathbyromy,52.0,160516.0
debarge,55.0,683123.0
declan mckenna,61.0,1082134.0
deep chills,57.0,120185.0
deep inside,19.0,3154.0
deep purple,65.0,5986611.0
deer noir,37.0,825.0
deftones,81.0,7723018.0
dej loaf,63.0,2048212.0
delaney bailey,54.0,292059.0
delinquent habits,53.0,280454.0
demi lovato,77.15384615384616,27289523.0
denez prigent,39.0,30106.0
dennis lucca,20.0,1897.0
denzel curry,69.0,2858495.0
deorro,64.0,1266989.0
depeche mode,73.0,7379623.0
derek & the dominos,57.0,822597.0
dermot kennedy,68.5,1668880.0
desiigner,58.0,3553104.0
destiny's child,69.0,8147523.0
destroy boys,55.0,575297.0
diamond rio,55.0,1031892.0
diamond thug,32.0,12270.0
diana ross,65.0,2204126.0
dianna lopez,36.0,57942.0
dici,25.0,3680.0
dick dale,41.0,137984.0
diddy - dirty money,48.0,129604.0
dido,72.5,2154167.0
diego mitre,56.0,28150.0
dierks bentley,65.0,3316476.0
diplo,77.0,2813710.0
dire straits,77.0,8849792.0
disclosure,73.33333333333333,2343253.0
disco lines,75.0,275333.0
disturbed,74.0,7649250.0
dj fresh,54.0,273600.0
dj gotta,48.0,43886.0
dj japa nk,75.0,282947.0
dj khaled,73.0,12344886.0
dj khamel,8.0,10.0
dj pegamento,21.0,1044.0
dj snake,77.0,9281733.0
dj tec,47.0,13726.0
djo,73.0,2322081.0
djsm,60.0,63155.0
dmitri shostakovich,60.0,531897.0
dmx,69.0,5928117.0
dna,54.0,10819.0
dnce,66.0,4592408.0
dnmo,51.0,63363.0
doc watson,46.0,127294.0
doechii,76.0,3229233.0
doja cat,86.0,34748949.0
dolly parton,70.0,2970776.0
dominic fike,74.25,2223332.0
don diablo,64.0,1844627.0
don toliver,85.0,7473754.0
donna missal,36.0,103077.0
dorothy,53.0,411540.0
dove cameron,70.0,5531839.0
dr. dog,62.0,646601.0
dr. dre,78.0,15098281.0
drake,95.0,103126025.0
dram,57.0,885355.0
dream chaos,49.0,14451.0
dream wife,25.0,72476.0
dreamsoda,59.0,100865.0
dreamville,61.0,821037.0
dreamy,10.0,2778.0
drenchill,51.0,34822.0
dresage,30.0,9991.0
drew holcomb & the neighbors,52.0,178379.0
dreycee,12.0,402.0
dreyma,37.0,5996.0
dua lipa,85.0,46895665.0
dua saleh,41.0,114709.0
duke dumont,66.0,795653.0
duncan laurence,63.0,728004.0
duran duran,72.0,3579741.0
dutch melrose,64.0,318012.0
dvbbs,56.0,1057994.0
dvny,40.0,949.0
dwight yoakam,59.0,779731.0
dxvn.,40.0,51095.0
dybbukk,59.0,106672.0
dylan tha only child,3.0,24.0
dynoro,62.0,315473.0
eagles,75.0,12152190.0
eazy-e,63.0,7081511.0
echosmith,55.0,606152.0
ed sheeran,88.0,122802777.0
ed sheeran & justin bieber,49.0,13561.0
edd stark,28.0,405.0
eddie van der meer,38.0,104797.0
edward maya,66.0,343114.0
egzod,62.0,225797.0
einar selvik,42.0,99070.0
eiza murphy,20.0,4162.0
el michels affair,51.0,218092.0
el waili,53.0,554173.0
electra,10.0,187.0
elephant revival,40.0,113945.0
eli,32.0,29207.0
eli young band,58.0,888564.0
elih,29.0,5445.0
elita,51.0,336779.0
eliza rose,55.0,73138.0
ella mai,69.0,6192505.0
elle king,63.0,670530.0
elley duhé,70.0,671778.0
ellie goulding,78.0,13212719.0
elliot,20.0,4873.0
elliot james reay,57.0,302715.0
elliot sutton,57.0,22061.0
elliott smith,64.0,1348123.0
ellise,52.0,1677266.0
elton john,80.0,15545907.0
elvis drew,55.0,68465.0
ely oaks,72.0,190171.0
em beihold,67.0,676095.0
emancipator,52.0,409620.0
emil rottmayer,40.0,28312.0
emilio,42.333333333333336,135139.0
emily osment,41.0,764468.0
emilíana torrini,48.0,219086.0
eminem,88.0,104584370.0
emm nascimento,2.0,42.0
emma louise,53.0,88544.0
emma thompson,47.0,8182.0
emmy,49.0,45041.0
empire of the sun,77.0,2012791.0
enigma,63.0,1093832.0
ennio morricone,65.0,1324548.0
enrique iglesias,77.0,11935198.0
entheogenic,27.0,63294.0
enya,72.0,2585958.0
eric b. & rakim,51.0,732410.0
eric church,71.0,4141160.0
eric heitmann,37.0,15732.0
eric mckenna,24.0,2299.0
ericovich,41.0,11036.0
esdeekid,74.0,253650.0
eslabon armado,75.0,6442976.0
estelle,65.0,386136.0
eternxlkz,66.0,613747.0
ethel cain,68.0,1111140.0
europe,63.0,1976138.0
eurythmics,68.0,2333723.0
evan call,58.0,78550.0
evan rachel wood,55.0,45117.0
evanescence,75.0,6165678.0
everything but the girl,60.0,432768.0
ex habit,59.0,130505.0
extraaavibe,9.0,647.0
extreme,61.0,704275.0
eyedress,69.0,2740985.0
f(x),52.0,1330307.0
fabiano abaixo assinado,4.0,22.0
fabolous,64.5,2758038.0
faith hill,60.0,1956457.0
fall out boy,77.0,11416476.0
fameboy bl,14.0,192.0
famy,50.0,60303.0
far east movement,64.0,1105453.0
farizki,49.0,94262.0
farruko,82.0,17042139.0
faruk orman,42.0,3070.0
fat joe,66.0,2135253.0
favored nations,40.0,25569.0
faye webster,71.0,2166403.0
feid,86.0,18885687.0
felax,32.0,28526.0
fergie,68.0,6157207.0
fetty wap,70.0,5124577.0
fever ray,49.0,491518.0
fidlar,46.0,338978.0
